category_name,location,object_code,serial_number
Diesel Fuel Can,OTA,setyl.it/TLC12T,IPG 3 (Sharpied on)
Diesel Fuel Can (White),OTA,setyl.it/7CB7R8,
Diesel Fuel Can (White),OTA,setyl.it/XNDYR6,
Electric Space Heater,OTA,setyl.it/V2TN88,
Electric Space Heater,OTA,,
Electric Space Heater,OTA,,
Electric Space Heater,OTA,,
Escape Respirator,OTA,,
Escape Respirator,OTA,,
Extension Cords,OTA,,
Extension Cords,OTA,,
Extension Cords,OTA,,
Extension Cords,OTA,,
Extension Cords,OTA,,
Extension Cords,OTA,,
Extension Cords,OTA,,
Extension Cords,OTA,,
Extension Cords,OTA,,
Extra Tool Battery Chargers,OTA,,
Extra Tool Battery Chargers,OTA,,
Extra Tool Battery Chargers,OTA,,
Extra Tool Battery Chargers,OTA,,
Extra Tool Battery Chargers,OTA,,
Extra Tool Battery Chargers,OTA,,
Extra Tool Battery Chargers,OTA,,
Extra Tool Battery Chargers,OTA,,
Extra Tool Battery Chargers,OTA,,
First Aid Kit,OTA,,
First Aid Kit,OTA,,
First Aid Kit,OTA,,
First Aid Kit,OTA,,
First Aid Kit,OTA,,
Flammable Equipment Storage Cabinet,OTA,,
Folding Table,OTA,setyl.it/UU4M6B,
Folding Table,OTA,setyl.it/CZQWNE,
Folding Table,OTA,setyl.it/CYZ5HP,
Folding Table,OTA,,
Garden Hoe,OTA,setyl.it/5XM5ZM,
Gas Fuel Can,OTA,setyl.it/F2YHF2,
Gas Fuel Can,OTA,setyl.it/KTVKM8,
Gas Fuel Can,OTA,setyl.it/VXAUCT,
Gas Fuel Can,OTA,setyl.it/RTNR1U,
Gas Fuel Can,OTA,setyl.it/8VUYTF,
Gas Fuel Can,OTA,setyl.it/1J0Q76,
Gas Fuel Can,OTA,setyl.it/TBGNHQ,
Gas Fuel Can,OTA,setyl.it/8017BA,
Gas Fuel Can,OTA,setyl.it/FUUTPY,
General Spill Absorbent,OTA,,
General Spill Absorbent,OTA,,
General Spill Absorbent,OTA,,
General Spill Absorbent,OTA,,
Generator (15KW),OTA,,
GoalZero Yeti Batteries (#1-4),OTA,,
Heavy Duty Rubber Garden Hose,OTA,,
Impact Drill,OTA,setyl.it/WTLFNK,DHVCG6V
Impact Drill,OTA,setyl.it/DWKWES,DHVCG56
Non-Impact Drill,OTA,setyl.it/TVRAVM,DBPJNKL
"INVERIS 120VAC, 10-Bank Charger",OTA,,
Large 20’x40’ Outdoor Tent,OTA,,
Large 20’x40’ Outdoor Tent,OTA,,
Leather Gloves,OTA,,
Leather Gloves,OTA,,
Leather Gloves,OTA,,
Leather Gloves,OTA,,
Leather Gloves,OTA,,
Mini Fridge,OTA,,
